,text
92,"=============================================================================NOTE: This is being posted for a friend. DO NOT REPLY to my account. Please       direct all replies to Scott Burke at scott@sparcom.com=============================================================================Alpine 5959S 6-CD Shuttle.  Paid $600, want $420/OBO.Alpine 1203 Remote CD Changer Control.  Paid $250, want $175/OBO.Boston ProSeries 10.0 Subwoofers (2) + Box.  Paid $545, want $380/OBO.All equipment is under 6 months old and includes a full-replacement 5-yearwarranty from original point of purchase.  The subwoofer box was customdesigned to fit in the back of a Bronco II and is 14"" by 21"" by 27"".Send replies to: scott@sparcom.com-----Scott Burke - Project Leader - Sparcom Corporation - Corvallis ORscott@sparcom.com - Telephone (503) 757-8416 - FAX (503) 753-7821-- ------------------------------------------------------------------------------                     ""Just waiting for the nuts...""             Brett Barksdale        brett@porky.oce.orst.edu"
135,"We run ""SpaceNews & Views"" on our STAREACH BBS, a localoperation running WWIV software with the capability to link toover 1500 other BBS's in the U.S.A. and Canada through WWIVNet.   Having just started this a couple of months ago, our sub uscurrently subscribed by only about ten other boards, but moreare being added.   We get our news articles re on Internet, via ftp from NASAsites, and from a variety of aerospace related periodicals. Weget a fair amount of questions on space topics from studentswho access the system. ____________________________________________________________"
256,"Greetings!Steve Summers and the Chief were on 48 Hours last night shmoozingsports.  I unfortunately missed it.  Those of you who saw it, canyou please provide a synopsis.Thanx.------------------------------------------------------------------------The Czar of Mainframe Computing <JBE5@MUSICB.MCGILL.CA>McGill University---> I'M TOO SEXY FOR COBOL.---> Habs...it doesn't look good!---> Let's Go Expos!                ======================================                | Peter Peter Pumkin Eater,          |                | Knew a chick but couldn't meet her.|                | Saw her brother one fine day,      |                | Sucked his cock now he's gay!      |                |           --Andrew Dice Clay       |                ======================================"
265,<<<most of message deleted>>>
316,"==============================                              GASPRA ANIMATION                                March 12, 1993                       ==============================     The Gaspra animation is now available at the Ames Space Archives in QuickTime format.  The animation was formed from 11 images taken by the Galileo spaecraft shortly before its closest approach to the asteroid in October 1991.  The animation is available using anonymous ftp to:"
389,"================ ------------------------------------------------------------ |||||||| SciP+Fi  ction set in C-Sci\programming environs list by Ian Feldman ..........:::::: ---------------------------------------- ---- -------------- Written by:_____ _Book Title_; publisher'year, pp         v2.7           ISBN -----------       =============================== ------- ==== ##############     John Brunner _Shockwave Rider_; Ray/Ballantine'84 $5_______ 0-345-32431-5                   ""cracking the net to free information for the common good""      Pat Cadigan _Mindplayers_; (""an absolute must-have"" --Bruce Sterling)      Pat Cadigan _Synners_; Bantam $5; (virtual reality)_______ 0-553-28254-9 Orson Scott Card _Lost Boys_; Harper Collins'92; (programmer and family     \                   encounters strange events in North Carolina)     Denise Danks _Frame Grabber_; St.Martin's, hrdb [GBP]17____ 0-312-08786-1                   computer-illiterate journalix tracks down murderer via BBS    Toni Dwiggins _Interrupt_; (""a techno-mystery set in Silicon Valley"")    Michael Frayn _The Tin Men_; Fontana, (""inspired lunacy"" but out of print)    David Gerrold _When HARLIE was One Release 2.0_; Bantam'88__ 0-553-26465-6   William Gibson _Count Zero_; (computers as gods, part of a trilogy)   William Gibson _Mona Lisa Overdrive_; (virtual reality)______ 0-553-28174-7   William Gibson _Burning Chrome_; (cyberpunk short stories)___ 0-441-08934-8   William Gibson _Neuromancer_; (industrial espionage)_________ 0-441-56959-5                   (author guilty of inventing the cyberpunk genre)      James Hogan _The Genesis Machine_; Del Ray'87 $3__________ 0-345-34756-0      James Hogan _Thrice Upon A Time_; (""time travel for information"")      James Hogan _The Two Faces of Tomorrow_; Del Ray'79_______ 0-345-27517-9                   ultimate test of AI-OS by letting it run a spacelab -> amok    Stanislaw Lem _His Master's Voice_; (failed attempt to decode ET-message)       Tom Maddox _HALO_ (""remarkable SF of robots & artificial intelligence"") George RR Martin _Nightflyers_; Tor Books'87___________________ 0-8125-4564-8      R A MacAvoy _Tea with the Black Dragon_; (""mystery around a computer   \                   fraud situation; computing bits ring true."") Vonda N McIntyre _Steelcollar Worker_; in Analog Nov'92; (blue-collar VR)     Marge Piercy _Body of Glass_; Penguin'92, 584pp; (data piracy++) review \                   finger ""books=Body_of_Glass%danny""@orthanc.cs.su.oz.au ---> David Pogue _Hard-Drive_; Diamond'93 $5, 304pp____________ 1-55773-884-X                   (*programmer dies in accident, leaves no documentation    \                   behind; software firms fight for market share with virii; \                   ""right out of the pages of MacWorld"" --Steve Brock)   Richard Powers _The Gold Bug Variations_; Morrow '91, (famous molecular   \                   scientist ponders on the ?why? of love, life in EDP dept.)      Paul Preuss _Human Error_; (nanotech computer infects brain-damaged kid)    Thomas J Ryan _The Adolescence of P1_; ACE'79_______________ 0-671-55970-2                   (runaway AI experiment takes over mainframes, wrecks havoc)   Bruce Sterling _The Difference Engine_; (with W Gibson) Bantam'91; finger \                   ""books=The_Difference_Engine%danny""@orthanc.cs.su.oz.au      Cliff Stoll _The Cuckoo's Egg_; (non-fiction but reads like one); review                   FTP <garbo.uwasa.fi>; /mac/tidbits/1991/tb048_18-Mar-91.etx     Tom T Thomas _ME_; (""smart computers"")     Vernor Vinge _Across Realtime_; Baen Books_____________ [several titles \     Vernor Vinge _Tatja Grimm's World_; Baen Books__________ soon available \     Vernor Vinge _The Witling_; Baen Books___________________ as Millennium \     Vernor Vinge _Threats and Other Promises_; Baen Books_____ Books in UK]     Vernor Vinge _True Names & Other Dangers_; Baen Books'87___ 0-671-65363-6     Vernor Vinge _A Fire Upon The Deep_; Tor Books, 640p, $6___ 0-8125-1528-5                   (""essentially about the future of the Internet"")      John Varley _Press Enter_; (""Short story, gruesome, but good"")       Ed Yourdon _Silent Witness_; (""Computer crime caper story; gumshoe    \                   has to explain intricacies of computer OS to girlfriend"") Herbert W Franke _Das Zentrum der Milchstrasse_; (""the center of the galaxy"") Herbert W Franke _Letzte Programmierer_; (""'the last programmer';           \                   I do NOT mean Frank Herbert!"")       Emil Zopfi _Computer Fuer 1001 Nacht_; Limmat Verlag, Switzerland       Emil Zopfi _Jede Minute Kostet 33 Franken_; (last 4 in German; last 2 \                   ""set in the commercial computing world of the early 70's"") ----------------------------------------------------------------------------- current version of this list via `finger ""scip+fi%danny""@orthanc.cs.su.oz.au' ----------------------------------------------------------------------------- compiled 930424; % mail -s ""additions/ comments/ updates --->"" ianf@random.se ================ ============================================= ==============     Statistical breakdown-------------------------- +-- --------------------- SciP+Fiction -----+------------+------------------+ | # nominations /title    ~~~~~~~~~~~~         /author    # books nominated | +-- =========== ----------------------------+ =========== ================= + | 5 _The Adolescence of P-1_; Ryan          |    Vinge 10          6 titles | | 5 _Neuromancer_; Gibson                   |   Gibson 10          5 titles | | 4 _True Names and Other Dangers_; Vinge   |     Ryan  5 _The Adolescence..| | 4 _Shockwave Rider_; Brunner              |  Brunner  4 _Shockwave Rider_ | | 4 _When H.A.R.L.I.E was One_; Gerrold     |  Gerrold  4 _When H.A.R.L.I.E.| | 4 _A Fire Upon The Deep_; Vinge           |    Hogan  3          3 titles | | 2 _Threats and Other Promises_; Vinge     |      Lem  3 _Fiasco_HMV_Solar.| +-- ----------------------------------------+ ----------- ----------------- + | # total nominations: 85; authors: 27; female: 5?6; sent in by: 42 readers | +======== ================ ============ ============ =======================+       Contributions by [unsorted FIFO]:---------------------------------------- From: sbrock@teal.csn.org (Steve Brock) From: ""John Lacey"" <johnl@cs.indiana.edu> From: malloy@nprdc.navy.mil (Sean Malloy) From: thom kevin gillespie <thom@silver.ucs.indiana.edu> From: Paul Christopher Workman <pw0l+@andrew.cmu.edu> From: kellys@code3.code3.com (Kelly Sorensen) From: whughes@lonestar.utsa.edu (William W. Hughes) From: North_TJ@cc.curtin.edu.au (Tim North) From: LORETI@FNAL.FNAL.GOV (Maurizio Loreti) From: Stephen Hart <stephenh@cs.mun.ca> From: Duane F Marble <dmarble@magnus.acs.ohio-state.edu> From: Matthias Neeracher <neeri@iis.ee.ethz.ch> From: Wolfram Wagner <ww@mpi-sb.mpg.de> From: webb@tsavo.HKS.COM (Peter Webb) From: setzer@ssd.comm.mot.com (Thomas Setzer) From: kevles@acf3.NYU.EDU (Beth Kevles) From: dp@world.std.com (Jeff DelPapa) From: rsquires@cyclops.eece.unm.edu (Roger Squires) From: hartman@uLogic.com (Richard Hartman) From: Vernor Vinge <vinge%saturn@sdsu.edu> From: Paul Lebeau <plebeau@cix.compulink.co.uk> From: ""Lawrence Rounds"" <ljr@beach.cis.ufl.edu> From: phydeaux@cumc.cornell.edu (David Weingart) From: chgs02@vaxa.strath.ac.uk (By learning+courtesy) From: Rowan Fairgrove <rowanf@cache.crc.ricoh.com> From: peterc@suite.sw.oz.au.sw.oz.au (Peter Chubb,x114,6982322,3982735) From: Gara Pruesse <gara@cs.toronto.edu> From: russell@alpha3.ersys.edmonton.ab.ca (Russell Schulz) From: ahm@spatula.rent.com (Andreas Meyer) From: jon@cs.washington.edu (Jon Jacky) From: eugene@nas.nasa.gov (Eugene N. Miya) From: ""A.M.MAIR"" <CHGS02@VAXB.STRATHCLYDE.AC.UK> From: mengel@dcdmwm.fnal.gov (Marc Mengel) From: Roger Scowen <rss@seg.npl.co.uk> From: kevino@clbooks.com (Kevin Oster -- System Administrator) From: chavey@cs.wisc.edu (Darrah Chavey) From: Vonda McIntyre <mcintyre@cpac.washington.edu> From: Bruce Sterling <bruces@well.sf.ca.us> From: ""Scott Thomas Yabiku"" <yabi@midway.uchicago.edu> From: Thomas Adshead <uad1212@dircon.co.uk> From: Paul Andrews <76050.161@CompuServe.COM> ===== ======================================= ---------> MUCHO thanks to all!"
482,"I have received my copies of Cosmonautics 1990 andCosmonautics 1991, as well as Soviet Space 1990 and SpaceStation [MIR] Handbook from Aerospace Ambassadors with noproblem.     I'm getting ready to FAX them some material in Huntsville,and I'll include a printout of your inquiry. ____________________________________________________________"
543,"========== 20"" COLOR TV ============= San Diego Mesa College Area Emerson M20R w/ ""high-tech"" square screen                                                        BEST PRICE YOUfeatures: timer/sleep feature for auto- shut on/off                                                        CAN FIND FOR Afully cable ready w/ all coaxial video audio jacks                                                        20-INCH COLOR TVMTS (multichannel sound jack) for processing stereo                or bilingual channels                                                        $ 170.00 FIRM19 key remote includes review, recall, sleep features ============================================== tel 619-278-8779  please reply to lcornel@eis.calstate.edu for fastest response! -Louis"
691,"See:   Maureen Stone and Tony DeRose,   ""A Geometric Characterization of Parametric Cubic Curves"",   ACM TOG, vol 8, no 3, July 1989, pp. 147-163._______________________________________________________________________...Ron Capelli                 IBM Corp.  Dept. C13,  MS. P230   capelli@vnet.ibm.com        PO Box 950   (914) 435-1673              Poughkeepsie, NY  12602_______________________________________________________________________"
759,S P H E R I C A L   D E S I G N I N G
