,text
1,Didn't one of the early jet fighters have these?I also think the germans did some work on these in WWII.A lot of this was also done by the military...Weren't the first microwave landing systems from WWII too?Egad! I'm disagreeing with Mary Shafer!
2,"I bought my HP48sx calculator a month ago, used once but put it back in thebox.  Includes manual and I'm including about 7 high density disks packed withdozens if not hundreds of games and programs. All you need to do is buy thepc cable for around $20 bucks so you could use the software.       	   	   	   $255 shipping included or best offer."
3,"I would guess not.  Dr. Neil Gehrels of CGRO is the son of Dr. TomGehrels of the University of Arizona.  Since he's long had researchinterests in asteroids and other solar-system astronomy, Tom is theone more likely to have discovered  a comet (and thus had his nameattached to it).Tom Gehrels is a leader in the Spacewatch project, which has recentlyincreased mankind's discovery rate on near-Earth asteroids (they'refinding a couple every month).  For much more on this interesting guy,read his autobiography, *On a Glassy Sea*."
4,"Okay all my friends are bitching at me that the map I made in Appsoft Drawcan't be displayed in ""xv""... I checked... It's true, at least with version1.0.  My readers on the NeXT have very little trouble on it (Preview messesup the .eps, but does fine with the TIFF and ImageViewer0.9a behaves withflying colors except it doesn't convert worth *&^^% ;-) )  Please is there any way I can convert this .drw from Appsoft 1.0 on the NeXTto something more reasonable like .gif?  I have access to a sun4 and NeXTstep3.0 systems.  any good reliable conversion programs would be helpful... pleaseemail, I'll post responses if anyone wants me to... please email that to.Yes I used alphachannel... (god i could choke steve jobs right now ;-) )Yes i know how to archie, but tell me what to archie for ;-)Also is there a way to convert to .ps plain format? ImageViiewer0.9 turnsout nothing recognizable....     terrychay---small editorial-rw-r--r--  1 tychay   2908404 Apr 18 08:03 Undernet.tiff-rw-r--r--  1 tychay     73525 Apr 18 08:03 Undernet.tiff.Z"
5,......Yeah...I've seen you're grand mother...I bet she could.
8,"Interesting! One of our German friends here (Robert?) told me their forwardswere all Canadian-Germans. Perhaps somebody can sort this out for us? OK, ""this ain't North America"" and so on, but I still doubt that _any_ cityhaving a pop. of 500,000 and below could support an NHL team. Of course,Switzerland probably should be judged as one large city because of smalldistances between cities but still. Dusseldorf? YES, although the arena is an anachronism (an OPEN wall behind oneof the goals - essentially an outdoor arena!). Cologne's arena only seats about7,000-8,000, Berlin is about 6,000 and no new facility will be builtunless their Olympic bid is successful. Munich does have an arena. Malmo is big enough, but they also need a new arena...the current one has 5,000 seats I think.If we're talking about the NHL, even Helsinki would struggle to make it work.Turku (despite an excellent arena) and Tampere are nowhere near big enough formajor league hockey....Rome and the south are out of the question; this could as well be Africato hockey fans. Romans were given the chance to host some WC'94 games butshowed no interest whatsoever. All teams in the Italian league come from Milanand the smaller cities in the north.Paris had their own ""Volans Francais""(sp) pro team a couple of years ago.I believe they even made it to the European Club Championship finals tournament one year, but eventually folded due to lower-than-hoped-for attendances. The remaining cities seem to be too small to support a minor sport like hockey.The easter cities lack the money and infrastructure to support pro hockey.Perhaps . . . Most European teams will have to be like the Tampa Bay Lightninganyway; playing in a small 10,000 seat arena, backed by Japanese money, run by enthusiasts (Phil Esposito), heavymarketing, fans that have difficulty telling what ""icing"" means... London hasbeen mentioned, Sheffield and Birmingham also have large arenas and a newmega-facility (16,000 seats!) might be built in Bristol in a couple of years.No facilities to speak of; their biggest arena (in Eindhoven) seats 2,500 fans for hockey. "
10,"   I'm on a fact-finding mission, trying to find out if there exists a list of   potentially world-bearing stars within 100 light years of the Sun...   Is anyone currently working on this sort of thing?  Thanks...   Dan   -- In principle, any star resembling the Sun (mass, luminosity) might have planetslocated in a suitable orbit. There several within 100 ly of the sun. They aresingle stars, for double or multiple systems might be troublesome. There's alist located at ames.arc.nasa.gov somewhere in pub/SPACE. I think it is calledstars.dat. By the way, what kind of project, if I may know?Rui-- *** Infinity is at hand!                               Rui Sousa*** If yours is big enough, grab it!                   ruca@saber-si.pt"
13,"The front covers should be available from Sony.  Check with a local carstereo shop.  You will probably (definitely) have to provide the units serial number and hopefully you had registered the warranty card.  I don't know the cost, but replacements have to be available to peoplewho damage the face cover, so it stands to reason that it can be replaced.As to deterring theft:When I worked for a stereo shop, we referred the customer to a Sony 800number.  We would not sell the face, nor did we have them available.  Mostpeople who came in asking for the face cover (or a pullout sleave for thatmatter) would look very disheartened to find that they acquired a deckthey couldn't use.  If theft occurs with these decks, notify Sony.  Serialnumbers do catch theives."
14,"The company was probably ""Public Missiles, Inc"" of Michigan.Yup.Nope, it's not illegal. It is, however, closely regulated. In order to purchase and use the big rocket motors required, it is necessary to beone of the following:a) An employee of a government agency.b) An employee or student at a university doing research involving rockets.c) A member or representative of an educational organization involved inresearch or other uses of rockets. There are two such organizations: The Tripoli Rocketry Association and the National Association of Rocketry.Members of either organization must demonstrate proficiency in constructionand flight before they are allowed to purchase large motors on their own.The FAA will issue a waiver of its regulations, upon request, to any organization which can persuade them it has taken adequate precautions to avoid conflicts with aircraft. The usual stipulations are:- Only operation up to a specified ceiling is allowed. Depending on thelocation, this ceiling may be from 5000 to 50000 feet AGL. - The operator of the rocket is responsible for avoiding any aircraftwithin the operating radius around the launch site.- Flight into clouds or beyond visual range in haze is expressly prohibited.- The FAA will provide a NOTAM informing other users of the airspace thatunmanned rocket operations are taking place at the specified place and time.Most of the launches that are held (and there are dozens of them every year)are held in areas where air traffic is relatively light, such as over thewestern deserts (the Black Rock Desert north of Reno is particularly popularsince it is 25 x 150 miles of *nothing to hit* on the ground).The two rocketry associations test and approve motors for their members'use, to insure safety. Depending on motor size, the launcher setback isfrom 50 to 500 or more feet. By the way, rockets under 1 lb and powered by an ""F"" motor are exempt frommost Federal regulations on unmanned rockets anyway. See FAR 101, SubpartC, for details.As for recovery...although the higher altitude rockets can reach up to50,000 feet, most of them only get to 2,000 to 5,000 feet. The typicalrocket is 2 to 6 inches in diameter, and carries a 3 to 6 foot parachute,or multiple parachutes, depending on the payload. Many rockets also carryeither a small transmitter or an audio sounder--particularly at launchesin the eastern US, where there are more obstructions.Camera, telemetry transmitter, and video payloads are becoming quite common.Why not? It's a lot of fun...check out the traffic on rec.models.rocketsfor information about the model (3 lb and under) and high power (everythingbigger) rocket hobbies. As with all dangerous activities, the key is topractice safety. I've been flying consumer rockets ranging up to 4-5 lbstakeoff weight for 27 years, and still have all my extremities intact.That's another thing. NO EXPLOSIVE WARHEADS OF ANY KIND ARE ALLOWED ON THESEROCKETS. NONE! Please forgive me for shouting, but that's one of the biggestmisconceptions people have about our hobby. True. But it will not be related to the rocket hobby, unless I get hit while crossing a road with a rocket in my hand. "
15,"Also in pure speculation:Parity errors in memory or previously known conditions that were waivered.   ""Yes that is an error, but we already knew about it""Any problem where they decided a backup would handle it.Any problem in an area that was not criticality 1,2,3..., that is, any   problem in a system they decided they could do without.I'd be curious as to what the real meaning of the quote is."
